,GEOID,totalpop,party,full_name,gini_index_of_income_inequality,median_household_income,white,black,amerindian_native,asian,hawaiian_pacific,other_race,two_more_races,hispanic_latino,citizen_voters,state_district,lackinsurance,csmoking,diabetes,obesity,ghlth,mhlth,url,twitter
0,0620,739352.0,Democrat,Jimmy Panetta,0.4690,75460.0,428821.0,14945.0,7779.0,40200.0,2653.0,213127.0,31827.0,400149.0,434889.0,CA-20,0.158,0.12300000000000001,0.091,0.24,0.191,0.126,https://panetta.house.gov,RepJimmyPanetta
1,1213,735935.0,Democrat,Charlie Crist,0.4805,52081.0,580519.0,91631.0,2073.0,26641.0,756.0,9233.0,25082.0,78500.0,584889.0,FL-13,0.187,0.175,0.10800000000000001,0.27699999999999997,0.191,0.132,https://crist.house.gov,repcharliecrist
2,2701,678418.0,Republican,Jim Hagedorn,0.4400,61247.0,606439.0,21905.0,2013.0,18839.0,1141.0,13714.0,14367.0,46054.0,500330.0,MN-01,0.098,0.146,0.081,0.31,0.128,0.1,https://hagedorn.house.gov,RepHagedorn
3,3410,759704.0,Democrat,"Donald M. Payne, Jr.",0.5086,59101.0,218853.0,390745.0,1661.0,54128.0,241.0,75887.0,18189.0,160348.0,496051.0,NJ-10,0.157,0.165,0.124,0.32799999999999996,0.215,0.13699999999999998,https://payne.house.gov,RepDonaldPayne
4,3905,717088.0,Republican,Robert E. Latta,0.4362,60500.0,654248.0,18872.0,1250.0,9691.0,857.0,10590.0,21580.0,37722.0,549171.0,OH-05,0.085,0.182,0.105,0.345,0.162,0.128,https://latta.house.gov,BobLatta
5,4506,659483.0,Democrat,James E. Clyburn,0.4694,38660.0,256307.0,361797.0,2260.0,7989.0,772.0,10462.0,19896.0,30569.0,506843.0,SC-06,0.19399999999999998,0.20199999999999999,0.146,0.387,0.231,0.158,https://clyburn.house.gov,WhipClyburn
6,3502,700113.0,Republican,Yvette Herrell,0.4855,41569.0,585804.0,15287.0,39115.0,5840.0,690.0,37439.0,15938.0,390187.0,484702.0,NM-02,0.165,0.179,0.115,0.306,0.233,0.14400000000000002,https://herrell.house.gov,RepHerrell
7,3503,698251.0,Democrat,Teresa Leger Fernandez,0.4830,49030.0,463222.0,11028.0,132163.0,9917.0,1599.0,59758.0,20564.0,288964.0,507907.0,NM-03,0.14,0.182,0.109,0.27699999999999997,0.209,0.14400000000000002,https://fernandez.house.gov,RepTeresaLF
8,0607,753640.0,Democrat,Ami Bera,0.4364,79712.0,474784.0,55737.0,6801.0,120343.0,6811.0,32841.0,56323.0,139092.0,537436.0,CA-07,0.08900000000000001,0.109,0.08800000000000001,0.275,0.139,0.115,https://bera.house.gov,RepBera
9,0902,699657.0,Democrat,Joe Courtney,0.4392,77908.0,596505.0,29961.0,2344.0,24302.0,46.0,18801.0,27698.0,61938.0,548572.0,CT-02,0.076,0.128,0.08,0.273,0.12,0.109,https://courtney.house.gov,RepJoeCourtney
10,1708,707268.0,Democrat,Raja Krishnamoorthi,0.4103,72089.0,454580.0,38308.0,6590.0,99254.0,1736.0,87930.0,18870.0,212650.0,442009.0,IL-08,0.129,0.129,0.08199999999999999,0.27,0.14400000000000002,0.105,https://krishnamoorthi.house.gov,congressmanraja
11,2804,774983.0,Republican,Steven M. Palazzo,0.4781,45341.0,552151.0,183657.0,1582.0,10899.0,638.0,9007.0,17049.0,33613.0,579386.0,MS-04,0.161,0.201,0.11199999999999999,0.331,0.21899999999999997,0.138,https://palazzo.house.gov,CongPalazzo
12,4201,713685.0,Republican,Brian K. Fitzpatrick,0.4483,88168.0,610837.0,28311.0,551.0,45393.0,638.0,11729.0,16226.0,41311.0,544860.0,PA-01,0.063,0.149,0.083,0.271,0.129,0.10800000000000001,https://fitzpatrick.house.gov,repbrianfitz
13,5111,798464.0,Democrat,Gerald E. Connolly,0.4127,111279.0,454640.0,103443.0,3018.0,139120.0,803.0,47068.0,50372.0,156255.0,509988.0,VA-11,0.12300000000000001,0.109,0.076,0.223,0.11199999999999999,0.098,https://connolly.house.gov,GerryConnolly
14,2601,699220.0,Republican,Jack Bergman,0.4495,51153.0,643692.0,9447.0,17771.0,5169.0,366.0,2083.0,20692.0,13320.0,564858.0,MI-01,0.084,0.18100000000000002,0.105,0.33,0.162,0.129,https://bergman.house.gov,RepJackBergman
15,4901,776910.0,Republican,Blake D. Moore,0.4016,72123.0,702001.0,10269.0,8207.0,11260.0,2742.0,18326.0,24105.0,100753.0,521517.0,UT-01,0.142,0.10300000000000001,0.07,0.272,0.13,0.125,https://blakemoore.house.gov,RepBlakeMoore
16,1902,783983.0,Republican,Mariannette Miller-Meeks,0.4673,55239.0,700399.0,32975.0,1578.0,18719.0,785.0,9563.0,19964.0,46049.0,581525.0,IA-02,0.08900000000000001,0.171,0.092,0.358,0.151,0.114,https://millermeeks.house.gov,RepMMM
17,3710,762919.0,Republican,Patrick T. McHenry,0.4544,51554.0,614574.0,96167.0,1944.0,13014.0,302.0,19999.0,16919.0,50383.0,585102.0,NC-10,0.15,0.17600000000000002,0.10300000000000001,0.295,0.17800000000000002,0.129,https://mchenry.house.gov,PatrickMcHenry
18,4836,754178.0,Republican,Brian Babin,0.4605,59152.0,619921.0,75145.0,4826.0,15512.0,197.0,18632.0,19945.0,205282.0,519385.0,TX-36,0.198,0.15,0.10400000000000001,0.327,0.171,0.121,https://babin.house.gov,RepBrianBabin
19,0101,715346.0,Republican,Jerry L. Carl,0.4824,46445.0,479949.0,196891.0,6992.0,10627.0,183.0,7691.0,13013.0,24141.0,544464.0,AL-01,0.163,0.2,0.125,0.344,0.22899999999999998,0.152,https://carl.house.gov,RepJerryCarl
20,1304,785104.0,Democrat,"Henry C. ""Hank"" Johnson, Jr.",0.4356,58448.0,210961.0,472419.0,1285.0,49178.0,2848.0,31949.0,16464.0,76482.0,527938.0,GA-04,0.215,0.174,0.11,0.331,0.182,0.127,https://hankjohnson.house.gov,RepHankJohnson
21,3302,669638.0,Democrat,Ann Kuster,0.4561,74144.0,621889.0,10190.0,1839.0,18112.0,293.0,4057.0,13258.0,27499.0,529588.0,NH-02,0.084,0.146,0.081,0.27899999999999997,0.127,0.11599999999999999,https://kuster.house.gov,RepAnnieKuster
